id,name,surname,column,birth,death date,age,expert,seniorityExpert,master,seniorityMaster,almanach,Autres information
xpr0015,"Belhomme, Maurice",Belhomme,entrepreneur,1667-04-01,1741-02-01,59,1725,1,1697,29,almanach,Ac. 1728
xpr0017,"Benoist, Louis",Benoist,architecte,1680-01-01,1734-10-25,46,1718,8,non,,almanach,
xpr0018,"Bernard, Charles",Bernard,architecte,1670-07-01,1751-10-03,56,1712,14,non,,almanach,
xpr0023,"Billaudel, Charles Jacques",Billaudel,architecte,1696-11-01,1762-01-01,30,1724,2,non,,almanach,
xpr0048,"Caulle, Martin",Caulle,architecte,1661-01-01,1735-01-01,65,1690,36,non,,almanach,Arch. 1705
xpr0051,"Chastelain, Nicolas Isidore",Chastelain,entrepreneur,1702-03-01,,24,1725,1,1723,3,almanach,
xpr0054,"Chauveau, René Bonaventure",Chauveau,entrepreneur,1693-02-01,1776-04-14,33,1721,5,1722,4,almanach,
xpr0063,"Cudeville, Jacques",Cudeville,arpenteur,,1736-01-01,,1693,33,1682-12-22,44,almanach,
xpr0073,"De Bias Aubry, François",De Bias Aubry,architecte,1680-01-02,1755-06-25,46,1726,0,non,,almanach,
xpr0074,"De La Croix, Philémon",De La Croix,entrepreneur,1689-03-01,,37,1725,1,non,,almanach,
xpr0078,"De Mezeretz (fils), Charles Philippes",De Mezeretz (Fils),architecte,1665-05-01,,61,1718,8,non,,almanach,
xpr0086,"Delespine, Nicolas",Delespine,architecte,1642-07-01,1729-12-01,84,1690,36,non,,almanach,
xpr0097,"Doucet, Jacques",Doucet,entrepreneur,1685-04-01,,41,1723,3,1702,24,almanach,
xpr0100,"Dubois, Jean",Dubois,entrepreneur,1648-12-01,1733-01-01,78,1695,31,1685,41,almanach,
xpr0105,"Duval, Charles",Duval,arpenteur,,1730-05-04,,1693,33,1680,46,almanach,
xpr0108,"Fauvel, Jean",Fauvel,entrepreneur,1694-02-01,1763-12-01,32,1725,1,1722,4,almanach,
xpr0111,"Fourier, Edme",Fourier,entrepreneur,1668-03-01,1727-01-01,58,1708,18,1700,26,almanach,
xpr0112,"Fremiot, Nicolas",Fremiot,entrepreneur,1665-09-01,1738-04-17,61,1723,3,1700,26,almanach,
xpr0113,"Frosne, Jean-Luc",Frosne,architecte,1656-12-01,1726-01-01,70,1701,25,non,,almanach,
xpr0118,"Gérard de Montbrouard, Claude Jacques",Gérard de Montbrouard,architecte,1693-09-01,,33,1726,0,non,,almanach,
xpr0145,"Jacquot de Villeneuve, Pierre",Jacquot de Villeneuve,architecte,1681-06-01,1730-01-01,45,1718,8,non,,almanach,
xpr0147,"Joubert, Louis",Joubert,entrepreneur,1676-01-01,1756-07-17,50,1690,36,non,,almanach,
xpr0151,"Laisney, François Etienne",Laisney,entrepreneur,1683-02-01,,43,1702,24,1700,26,almanach,
xpr0158,"Le Brun, Jacques Charles",Le Brun,architecte,1670-03-01,,56,1725,1,non,,almanach,greff en 1721
xpr0160,"Le Chauve, Brice",Le Chauve,architecte,1693-08-01,1768-11-13,33,1726,0,non,,almanach,
xpr0171,"Le Sueur, Adrien",Le Sueur,architecte,1686-01-01,,40,1726,0,non,,almanach,
xpr0177,"Lepas Dubuisson, Claude Nicolas",Lepas Dubuisson,architecte,,,,1709,17,non,,almanach,
xpr0179,"Lepas Dubuisson, Jacques (II)",Lepas Dubuisson,entrepreneur,1676-06-01,,50,1719,7,1699,27,almanach,
xpr0183,"Loir, Jean Baptiste",Loir,entrepreneur,1665-10-01,1737-01-01,61,1705,21,1698,28,almanach,
xpr0193,"Masson, Etienne",Masson,entrepreneur,1682-12-01,1729-01-01,44,1710,16,1703,23,almanach,
xpr0207,"Paumier, Nicolas",Paumier,entrepreneur,,1738-01-01,,1724,2,1712,14,almanach,
xpr0221,"Pirethouy, Jacques",Pirethouy,architecte,1650-09-01,,76,1690,36,non,,almanach,
xpr0222,"Plasnie, Jean",Plasnie,entrepreneur,1676-09-01,1728-01-01,50,1723,3,1688,38,almanach,
xpr0223,"Poirin, Jan Baptiste Michel",Poirin,architecte,1697-08-01,1774-06-12,29,1726,0,non,,almanach,
xpr0232,"Quirot, Pierre",Quirot,architecte,1662-08-01,1743-01-01,64,1707,19,non,,almanach,
xpr0233,"Raymond, Jean François",Raymond,architecte,1688-07-01,,38,1718,8,non,,almanach,
xpr0236,"Richard, Pierre Louis",Richard,entrepreneur,1696-02-01,1779-01-04,30,1724,2,1719,7,almanach,
xpr0246,"Simon, Mathurin",Simon,entrepreneur,1666-08-01,1733-01-01,60,1713,13,1692,34,almanach,
xpr0248,"Simonet, Nicolas",Simonet,architecte,1685-04-01,1742-01-01,41,1724,2,non,,almanach,
xpr0264,"Vuyet, Jean Robert",Vuyet,architecte,1664-08-01,,62,1701,25,non,,almanach,
